Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0004418,2014-02-25,2017-08-16,"Favorite Actress. She holds the crown as my favorite Indian actress. I wished she made more movies because she is a great actress.Best on-screen pairing: Shahrukh KhanFirst movie I saw: We Are Family. I did not really know how famous she was when I first saw her & her character annoyed me. Who would have though she would have ever become a favorite of mine.Best Movies: DDLJ, KKHHMy love for the actor: 5 out of 5","Kajol","Fanaa","August 5, 1974"
2,nm0004626,2014-02-25,2017-08-17,"One of my favorites. She use to be my favorite until Kajol stole her crown.Best on-screen pairing: Either Saif or ShahidFirst movie I saw: We Are Family. I loved her so much in here & at one point she was my favorite Indian actress.Best Movies: We Are Family, Milenge MilengeMy love for the actor: 5 out of 5","Kareena Kapoor","3 Idiots","September 21, 1980"
3,nm0611552,2014-02-25,2017-08-17,"My girl Rani. It took a while for me to like her because all the movies I was watching was her up against Kajol or Kareena (my favorites). Great actress. She is so elegant. At one point, I thought I would never find her on-screen pairing because she always seems too good for her male co-stars until I came across Aamir & Saif. I wish she had more movies with Aamir in their young days.Best on-screen pairing: Aamir Khan First movie I saw: Mujhse Dosti Karoge Best Movies: Hum TumMy love for the actor: 5 out of 5","Rani Mukerji","Black","March 21, 1978"
4,nm4495174,2015-03-10,2018-05-07,"I love her. She needs to start acting in more movies because she is awesome.Best on-screen pairing: SidharthActors she needs to act with: Varun, Ranveer, Ranbir, Tiger, Aditya, Shahid, ArjunMy love for the actor: 5 out of 5","Parineeti Chopra","Hasee Toh Phasee","October 22, 1988"
5,nm1017633,2015-08-19,2018-05-07,"Her acting is a force to be reckon with.Best on-screen pairing: VarunActors she needs to act with: Ranveer, Ranbir, Tiger, Aditya (with a beard)My love for the actor: 4.5 out of 5","Alia Bhatt","Highway","March 15, 1993"
6,nm0706787,2014-02-25,2018-11-03,"I feel as though every American knows who Aishwarya is. She was the first Indian woman that made it into the mainstream in America (that I know). She is beautiful and I wanted to know if she has any acting skills, which I think she does. Best on-screen pairing: Hrithik or ShahrukhMy love for the actor: 5 out of 5","Aishwarya Rai Bachchan","Jodhaa Akbar","November 1, 1973"
7,nm1231899,2014-02-25,2017-07-30,"She will always be a favorite of mines because she was in the first REAL Indian movie I saw & I really liked her. Best on-screen pairing: Shahid","Priyanka Chopra Jonas","Barfi!","July 18, 1982"
8,nm2596365,2015-12-21,2017-07-30,"Best on-screen pairing: Salman Khan","Jacqueline Fernandez","Aladin","August 11, 1985"
9,nm3383930,2017-08-09,2018-11-03,"Best on-screen pairing: Dulquer Salmaan","Nithya Menen","Mersal","April 8, 1988"
10,nm2138653,2014-03-15,2017-07-30,"Deepika always sizzles on-screen.Best on-screen pairing: Tie between Ranbir or Ranveer","Deepika Padukone","Yeh Jawaani Hai Deewani","January 5, 1986"
11,nm1229940,2014-03-15,2017-07-30,"Best on-screen pairing: Sidharth Malhotra","Katrina Kaif","Zindagi Na Milegi Dobara","July 16, 1984"
12,nm2011932,2017-08-13,2018-11-03,"Best on-screen pairing: Prabhas","Anushka Shetty","Bãhubali 2: The Conclusion","November 7, 1981"
13,nm3601766,2015-03-10,2017-07-30,"Best on-screen pairing: Sidharth Malhotra","Shraddha Kapoor","Aashiqui 2","March 3, 1987"
14,nm0002043,2015-08-11,2015-08-11,,"Madhuri Dixit","Dil To Pagal Hai","May 15, 1967"
15,nm5305841,2015-12-26,2017-07-30,"Best on-screen pairing: Tiger","Kriti Sanon","Dilwale","July 27, 1990"
16,nm3848064,2014-03-15,2017-07-30,"Best on-screen pairing: Ranveer Singh","Sonakshi Sinha","Holiday","June 2, 1987"
17,nm1799038,2014-02-25,2017-07-30,"Best on-screen pairing: John Abraham","Vidya Balan","Kahaani","January 1, 1979"
18,nm1961459,2017-03-17,2017-03-17,,"Tamannaah Bhatia","Bãhubali: The Beginning","December 21, 1989"
19,nm4417069,2017-08-17,2017-08-17,,"Yami Gautam","Kaabil","November 28, 1988"
20,nm2144007,2017-01-26,2017-01-26,,"Kangana Ranaut","Queen","March 23, 1987"
21,nm5069465,2015-11-14,2015-11-14,,"Diana Penty","Cocktail","November 2, 1985"
22,nm5744729,2017-03-15,2017-07-30,"Best on-screen pairing: Ranveer Singh","Vaani Kapoor","Befikre","August 23, 1988"
23,nm2128238,2015-08-11,2015-08-11,,"Sonam Kapoor","Neerja","June 9, 1985"
24,nm0004487,2017-06-11,2017-06-11,,"Juhi Chawla","Qayamat Se Qayamat Tak","November 13, 1967"
25,nm0006433,2014-03-15,2014-03-15,,"Karisma Kapoor","Dil To Pagal Hai","June 25, 1974"
26,nm2299825,2017-01-26,2017-01-26,,"Ileana D'Cruz","Barfi!","November 1, 1987"
27,nm2331000,2017-01-23,2017-01-23,,"Radhika Apte","Andhadhun","September 7, 1985"
28,nm1521381,2017-08-06,2017-08-06,,"Nayanthara","Jawan","November 18, 1984"
29,nm3898762,2017-03-17,2017-03-17,,"Amala Paul","Ratsasan","October 26, 1991"
30,nm1779702,2017-06-15,2017-06-15,,"Ayesha Takia","Taarzan: The Wonder Car","April 10, 1986"
31,nm1328152,2017-08-17,2017-08-17,,"Shriya Saran","Manam","September 11, 1982"
32,nm3828984,2015-07-24,2018-11-03,"Best on-screen pairing: DeepikaI love this dude so much.He is my favorite Indian actor. He can literally act in everything & it is not weird because he seems born to play every role he takes.My love for the actor: 6 out of 5","Ranveer Singh","Gully Boy","July 6, 1985"
33,nm0451321,2014-02-25,2017-08-23,"Best on-screen pairing: Kajol (Aishwarya a distant 2nd)I always use to wonder what the big fuss was over him because I was a huge Salman Khan fan. Well, when I watched Devdas and DDLJ, I was pretty much sold on King Khan. He really is a good actor and I definitely love him over Salman.My love for the actor: 5 out of 5","Shah Rukh Khan","Don 2","November 2, 1965"
34,nm3289096,2015-08-13,2018-11-03,"Best on-screen pairing: Tough because he has chemistry with every one & no one has stood out yet.I felt so unsure about him because I HATED him in Student of the Year, but ever since then he has been low-key winning me over with his movies. He has won me over completely in 2017. I love this dude.Actress that he needs to act with: Priyanka Chopra, Deepika PadukoneMy love for the actor: 5 out of 5","Sidharth Malhotra","Shershaah","January 16, 1985"
35,nm1659141,2017-08-13,2017-08-23,"Best on-screen pairing: Anushka Shetty, he should feel free to act with her foreverFirst movie I saw: Baahubali: The BeginningBest Movies: Baahubali: The Beginning, Baahubali: The ConclusionMy love for the actor: 5 out of 5Actress that he needs to act with: Deepika Padukone, Parineeti Chopra & Nithya Menon","Prabhas","Bãhubali: The Beginning","October 23, 1979"
36,nm4921260,2017-03-17,2017-08-23,"MalayalamBest on-screen pairing: Nithya MenonMy love for the actor: 4.5 out of 5","Dulquer Salmaan","Charlie","July 28, 1986"
37,nm3315894,2015-11-16,2017-07-30,"Best on-screen pairing: AliaHe is so adorable & I love his goofiness.","Varun Dhawan","Badlapur","April 24, 1987"
38,nm0004335,2014-02-25,2017-08-23,"Best on-screen pairing: Aishwarya RaiI will watch anything he is in, but he is losing steam as my favorite actor.My love for the actor: 4 out of 5","Hrithik Roshan","Zindagi Na Milegi Dobara","January 10, 1974"
39,nm0451148,2015-08-13,2017-07-30,"Best on-screen pairing: RaniI LOVE this man's acting. He was another Khan where I was confused as to why he was so loved, but I understand.","Aamir Khan","Taare Zameen Par","March 14, 1965"
40,nm0451307,2015-07-24,2017-07-30,"Best on-screen pairing: Kareena & RaniI will never understand why I love Saif so much, but I do. If he is in the movie, I will more than likely be watching it.","Saif Ali Khan","Kal Ho Naa Ho","August 16, 1970"
41,nm5899377,2017-01-26,2017-06-15,"His movies always portray him as an action star making his enemies look silly. I love his screen presence & will watch all his movies even the silly ones.","Tiger Shroff","War","March 2, 1990"
42,nm1372788,2014-02-25,2018-11-03,"Hmmm... his movies have been a big hit or a tragic miss, but I do love him as an actor.","Shahid Kapoor","Haider","February 25, 1981"
43,nm4651098,2017-08-09,2017-08-09,,"Vidyut Jammwal","Force","December 10, 1978"
44,nm3818286,2015-03-10,2015-03-10,,"Sushant Singh Rajput","Dil Bechara","January 21, 1986"
45,nm2717565,2017-07-31,2017-07-31,,"Fawad Khan","Kapoor & Sons","November 29, 1981"
46,nm0393535,2016-06-27,2016-06-27,,"Randeep Hooda","Highway","August 20, 1976"
47,nm1633541,2014-03-15,2017-06-15,"He has one good movie, Yeh Jawaani Hai Deewani, and I cannot find another movie that I like with him. Time will tell if he is a good actor to me.","Ranbir Kapoor","Rockstar","September 28, 1982"
48,nm0474774,2015-12-29,2015-12-29,,"Akshay Kumar","Hera Pheri","September 9, 1967"
49,nm0006795,2015-12-29,2018-02-26,"He used to be my favorite Bollywood actor when I just got into the Bollywood scene, but then I watch Shahrukh & the rest was history. Ha. I still like him, but sometimes Salman's goofiness rubs me the wrong way in this movies.","Salman Khan","Sultan","December 27, 1965"
50,nm1303433,2014-02-25,2014-02-25,,"John Abraham","Dhoom","December 17, 1972"
51,nm0992000,2014-02-25,2017-06-15,"He is not in too many movies, but We Are Family & Yakeen made him a favorite of mines.","Arjun Rampal","Ra.One","November 26, 1972"
52,nm0222426,2017-08-03,2017-08-03,,"Ajay Devgn","Shivaay","April 2, 1969"
53,nm3169069,2015-03-10,2017-06-15,"Good enough.","Aditya Roy Kapoor","Aashiqui 2","November 16, 1985"
54,nm1819083,2015-08-11,2017-06-15,"2 States started him out right...","Arjun Kapoor","Gunday","June 26, 1985"
55,nm1027719,2015-08-13,2015-08-13,,"Farhan Akhtar","Zindagi Na Milegi Dobara","January 9, 1974"
56,nm0534856,2017-08-06,2017-08-06,,"Madhavan","Vikram Vedha","June 1, 1970"
57,nm1084853,2017-03-17,2017-08-06,"Telugu","Allu Arjun","Pushpa: The Rise - Part 1","April 8, 1983"
58,nm4028885,2017-03-17,2017-08-06,"Malayalam","Nivin Pauly","Premam","October 11, 1984"
59,nm1413459,2017-08-06,2017-08-06,,"Siddharth","Rang De Basanti","April 17, 1979"
60,nm1335387,2017-08-06,2017-08-06,"Malayalam","Prithviraj Sukumaran","Ennu Ninte Moideen","October 16, 1982"
61,nm1333687,2017-03-17,2017-08-06,"Tamil","Dhanush","Raanjhanaa","July 28, 1983"
62,nm1951127,2017-03-17,2017-08-06,"Tamil","Arya","Sarpatta Parambarai","December 11, 1980"
63,nm5625923,2017-03-17,2017-08-06,"Tamil","Dinesh","Attakathi","January 1, 1984"
64,nm1421814,2017-08-06,2017-08-06,"Tamil","Suriya","24","July 23, 1975"
65,nm1417314,2017-08-16,2017-08-16,,"Vikram","I","April 17, 1966"
66,nm1121870,2017-08-16,2017-08-16,,"Mahesh Babu","1 - Nenokkadine","August 9, 1975"
67,nm2281292,2017-08-17,2017-08-17,,"Rana Daggubati","Bãhubali: The Beginning","December 14, 1984"
68,nm1912683,2017-08-17,2017-08-17,,"Karthi","Kaithi","May 25, 1977"
69,nm2776304,2017-08-17,2017-08-17,,"Ram Charan","RRR (Rise Roar Revolt)","March 27, 1985"
70,nm3602118,2017-08-17,2017-08-17,,"Naga Chaitanya Akkineni","100% Love","November 23, 1986"
71,nm0897201,2017-08-17,2017-08-17,,"Joseph Vijay","Mersal","June 22, 1974"
72,nm4043111,2017-08-17,2017-08-17,,"Vijay Sethupathi","96","January 16, 1978"
