Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0542196,2018-03-25,2018-03-25,,"Lata Mangeshkar","Kabhi Khushi Kabhie Gham...","September 28, 1929"
2,nm0706327,2018-03-25,2018-03-25,,"Mohammad Rafi","Hum Kisise Kum Naheen","December 24, 1924"
3,nm0474822,2018-03-25,2018-03-25,,"Kishore Kumar","Sholay","August 4, 1929"
4,nm0080427,2018-03-25,2018-03-25,,"Asha Bhosle","Lagaan: Once Upon a Time in India","September 8, 1933"
5,nm0006715,2018-03-25,2018-03-25,,"Mukesh","Deadpool","July 22, 1923"
6,nm0947748,2018-03-25,2018-03-25,,"K.J. Yesudas","Kerala Varma Pazhassi Raja","January 10, 1940"
7,nm0621257,2018-03-25,2018-03-25,,"Udit Narayan","Lagaan: Once Upon a Time in India","December 1, 1955"
8,nm0764384,2018-03-25,2018-03-25,,"Kumar Sanu","Baazigar","October 20, 1957"
9,nm1304975,2018-03-25,2018-03-25,,"Shreya Ghoshal","Bodyguard","March 12, 1984"
10,nm0433889,2018-03-25,2018-03-25,,"K.S. Chithra","Koi... Mil Gaya","July 27, 1963"
11,nm4683709,2018-03-25,2018-03-25,,"Sp Balasubramaniom","Star Trek: Prodigy",
12,nm0223350,2018-03-25,2018-03-25,,"Manna Dey","Sholay","May 1, 1919"
13,nm0654915,2018-03-25,2018-03-25,,"P. Susheela","Meghasandesam","November 13, 1935"
14,nm0754169,2018-03-25,2018-03-25,,"S. Janaki","Thevar Magan","April 23, 1938"
15,nm0363028,2018-03-25,2018-03-25,,"Hariharan","Vaaranam Aayiram","April 3, 1955"
16,nm0631415,2018-03-25,2018-03-25,,"Sonu Nigam","Kal Ho Naa Ho","July 30, 1973"
17,nm0003504,2018-03-25,2018-03-25,,"Alka Yagnik","Kuch Kuch Hota Hai","March 20, 1966"
18,nm0471469,2018-03-25,2018-03-25,,"Kavita Krishnamurthy","Devdas","January 25, 1958"
19,nm0802240,2018-03-25,2018-03-25,,"Sukhwinder Singh","Haider","July 18, 1971"
20,nm1034805,2018-03-25,2018-03-25,,"Shaan","Fanaa","September 30, 1972"
21,nm0433881,2022-06-01,2022-06-01,,"Krishnakumar Kunnath","Om Shanti Om","August 23, 1968"
22,nm3858033,2018-03-25,2018-03-25,,"Arijit Singh","Raazi","April 25, 1987"
23,nm0006246,2018-03-25,2018-03-25,,"A.R. Rahman","Slumdog Millionaire","January 6, 1967"
24,nm0536708,2018-03-25,2018-03-25,,"Shankar Mahadevan","Kal Ho Naa Ho","March 3, 1967"
25,nm0438481,2022-06-01,2022-06-01,,"Mahendra Kapoor","Roti Kapada Aur Makaan","January 9, 1934"
26,nm0711756,2022-06-01,2022-06-01,,"Roop Kumar Rathod","Agneepath",
27,nm0154298,2022-06-01,2022-06-01,,"Sunidhi Chauhan","Raazi","August 14, 1983"
28,nm0542197,2022-06-01,2022-06-01,,"Usha Mangeshkar","Naseeb","December 15, 1935"
29,nm0412683,2022-06-01,2022-06-01,,"Usha Uthup","7 Khoon Maaf","November 7, 1947"
30,nm0905574,2022-06-01,2022-06-01,,"Suresh Wadkar","Haider",
31,nm0765071,2022-06-01,2022-06-01,,"Sadhana Sargam","Dasavatharam","March 7, 1969"
32,nm1126151,2022-06-01,2022-06-01,,"Hemalata","Chitchor",
33,nm1334513,2022-06-01,2022-06-01,,"Kailash Kher","Fanaa",
34,nm1519805,2022-06-01,2022-06-01,,"Javed Ali","Jodhaa Akbar",
35,nm1231900,2022-06-01,2022-06-01,,"Mohit Chauhan","Rockstar","March 11, 1966"
36,nm0710550,2022-06-01,2022-06-01,,"Ghantasala Venkateswara Rao","Bhakta Raghunath","December 4, 1922"
37,nm1042471,2022-06-01,2022-06-01,,"Nitin Mukesh","Mahabharat",
38,nm0157958,2022-06-01,2022-06-01,,"Alisha Chinai","Ajab Prem Ki Ghazab Kahani","March 18, 1965"
39,nm1539156,2022-06-01,2022-06-01,,"Kunal Ganjawala","Murder","April 14, 1972"
40,nm0080234,2022-06-01,2022-06-01,,"Rekha Bhardwaj","Yeh Jawaani Hai Deewani","January 24, 1964"
41,nm0008711,2022-06-01,2022-06-01,,"Abhijeet","Main Hoon Na","October 30, 1958"
42,nm0044297,2022-06-01,2022-06-01,,"Mohammed Aziz","Gangs of Wasseypur",
43,nm4362492,2022-06-01,2022-06-01,,"Diljit Dosanjh","Udta Punjab","January 6, 1984"
44,nm1150422,2022-06-01,2022-06-01,,"Falguni Pathak","Na Tum Jaano Na Hum","March 12, 1969"
45,nm0530948,2022-06-01,2022-06-01,,"Gurdas Maan","Veer-Zaara","January 4, 1957"
46,nm0711757,2022-06-01,2022-06-01,,"Vinod Rathod","Baazigar",
47,nm0371913,2022-07-15,2022-07-15,,"Bhupen Hazarika","Chameli Memsaab","September 8, 1926"
48,nm0474776,2022-06-01,2022-06-01,,"Amit Kumar","Love Story","July 3, 1952"
49,nm0451152,2022-06-01,2022-06-01,,"Adnan Sami","My Name Is Khan","August 15, 1973"
50,nm0004699,2022-06-01,2022-06-01,,"Lucky Ali","Kaho Naa... Pyaar Hai","September 19, 1958"
