Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000136,2013-11-09,2013-11-09,,"Johnny Depp","Pirates of the Caribbean: The Curse of the Black Pearl","June 9, 1963"
2,nm0000216,2013-11-09,2013-11-09,,"Arnold Schwarzenegger","Terminator 2: Judgment Day","July 30, 1947"
3,nm0000120,2013-11-09,2013-11-09,,"Jim Carrey","Ace Ventura: Pet Detective","January 17, 1962"
4,nm0914612,2013-11-09,2013-11-09,,"Emma Watson","The Perks of Being a Wallflower","April 15, 1990"
5,nm0000375,2021-08-10,2021-08-10,,"Robert Downey Jr.","Iron Man","April 4, 1965"
6,nm0705356,2013-11-09,2013-11-09,,"Daniel Radcliffe","Harry Potter and the Deathly Hallows - Part 2","July 23, 1989"
7,nm0262635,2021-08-10,2021-08-10,,"Chris Evans","The Avengers","June 13, 1981"
8,nm0000138,2013-11-09,2013-11-09,,"Leonardo DiCaprio","Inception","November 11, 1974"
9,nm0000129,2013-11-09,2013-11-09,,"Tom Cruise","Top Gun","July 3, 1962"
10,nm0000093,2013-11-09,2013-11-09,,"Brad Pitt","Fight Club","December 18, 1963"
11,nm0000122,2013-11-09,2013-11-09,,"Charles Chaplin","The Great Dictator","April 16, 1889"
12,nm0000151,2013-11-09,2013-11-09,,"Morgan Freeman","Se7en","June 1, 1937"
13,nm0000158,2013-11-09,2013-11-09,,"Tom Hanks","Cast Away","July 9, 1956"
14,nm0413168,2013-11-09,2013-11-09,,"Hugh Jackman","Les Misérables","October 12, 1968"
15,nm0000354,2013-11-09,2013-11-09,,"Matt Damon","Good Will Hunting","October 8, 1970"
16,nm0000230,2013-11-09,2013-11-09,,"Sylvester Stallone","Rocky","July 6, 1946"
17,nm0000226,2013-11-09,2013-11-09,,"Will Smith","The Fresh Prince of Bel-Air","September 25, 1968"
18,nm0000142,2013-11-09,2013-11-09,,"Clint Eastwood","Million Dollar Baby","May 31, 1930"
19,nm0000139,2013-11-09,2013-11-09,,"Cameron Diaz","Vanilla Sky","August 30, 1972"
20,nm0000123,2013-11-09,2013-11-09,,"George Clooney","The Ides of March","May 6, 1961"
21,nm0000229,2013-11-09,2013-11-09,,"Steven Spielberg","Schindler's List","December 18, 1946"
22,nm0000148,2013-11-09,2013-11-09,,"Harrison Ford","Raiders of the Lost Ark","July 13, 1942"
23,nm0000134,2013-11-09,2013-11-09,,"Robert De Niro","Cape Fear","August 17, 1943"
24,nm0000199,2013-11-09,2013-11-09,,"Al Pacino","Serpico","April 25, 1940"
25,nm0000375,2013-11-09,2013-11-09,,"Robert Downey Jr.","Iron Man","April 4, 1965"
26,nm0000128,2013-11-09,2013-11-09,,"Russell Crowe","Les Misérables","April 7, 1964"
27,nm0000553,2013-11-09,2013-11-09,,"Liam Neeson","Kinsey","June 7, 1952"
28,nm0000701,2013-11-09,2013-11-09,,"Kate Winslet","Titanic","October 5, 1975"
29,nm0000242,2013-11-09,2013-11-09,,"Mark Wahlberg","The Fighter","June 5, 1971"
30,nm0000204,2013-11-09,2013-11-09,,"Natalie Portman","Black Swan","June 9, 1981"
31,nm0000112,2013-11-09,2013-11-09,,"Pierce Brosnan","Mamma Mia!","May 16, 1953"
32,nm0000125,2013-11-09,2013-11-09,,"Sean Connery","The Rock","August 25, 1930"
33,nm0089217,2013-11-09,2013-11-09,,"Orlando Bloom","The Lord of the Rings: The Fellowship of the Ring","January 13, 1977"
34,nm0425005,2013-11-09,2013-11-09,,"Dwayne Johnson","Black Adam","May 2, 1972"
35,nm0000329,2013-11-09,2013-11-09,,"Jackie Chan","Ngo si seoi","April 7, 1954"
36,nm0001401,2013-11-09,2013-11-09,,"Angelina Jolie","Maleficent","June 4, 1975"
37,nm0001191,2013-11-09,2013-11-09,,"Adam Sandler","The Waterboy","September 9, 1966"
38,nm0424060,2013-11-09,2013-11-09,,"Scarlett Johansson","Lost in Translation","November 22, 1984"
